datetime,date,open,high,low,close,volume,datetime,RSI_14,STOCHRSIk_14_14_3_3,STOCHRSId_14_14_3_3,EMA_9,WMA_9,SMA_9,ATRr_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,VWAP_D,SUPERT_7_2.0,SUPERTd_7_2.0,SUPERTl_7_2.0,SUPERTs_7_2.0,VWAP_CROSS,SUPERTREND_CROSS,MACD_CROSS,EMA_CROSS,RSI_CROSS
2022-12-19 09:15:00,2022-12-19 09:15:00+05:30,18498.0,18498.0,18421.2,18445.8,50150,2022-12-19 09:15:00,,,,,,,,,,,18455.0,0.0,1,,,-1,1,0,0,0
2022-12-19 09:20:00,2022-12-19 09:20:00+05:30,18458.7,18466.3,18430.0,18456.65,23000,2022-12-19 09:20:00,,,,,,,,,,,18453.737069947598,,1,,,1,1,0,0,0
2022-12-19 09:25:00,2022-12-19 09:25:00+05:30,18456.65,18471.95,18441.55,18459.15,14600,2022-12-19 09:25:00,,,,,,,,,,,18454.371471984807,,1,,,0,1,0,0,0
2022-12-19 09:30:00,2022-12-19 09:30:00+05:30,18459.15,18481.75,18444.0,18481.75,9900,2022-12-19 09:30:00,,,,,,,,,,,18455.87144563919,,1,,,0,1,0,0,0
2022-12-19 09:35:00,2022-12-19 09:35:00+05:30,18481.75,18493.0,18473.25,18482.0,13200,2022-12-19 09:35:00,,,,,,,,,,,18459.072139527892,,1,,,0,1,0,0,0
2022-12-19 09:40:00,2022-12-19 09:40:00+05:30,18482.0,18491.0,18469.85,18479.7,8600,2022-12-19 09:40:00,,,,,,,,,,,18460.59207478722,,1,,,0,1,0,0,0
2022-12-19 09:45:00,2022-12-19 09:45:00+05:30,18479.7,18498.5,18470.0,18470.15,11600,2022-12-19 09:45:00,,,,,,,,,,,18462.270151341727,,1,,,0,1,0,0,0
2022-12-19 09:50:00,2022-12-19 09:50:00+05:30,18470.15,18477.1,18453.0,18475.1,9800,2022-12-19 09:50:00,,,,,,,,,,,18462.696651283874,18410.79639804123,1,18410.79639804123,,0,1,0,0,0
2022-12-19 09:55:00,2022-12-19 09:55:00+05:30,18475.1,18494.55,18475.05,18490.3,7950,2022-12-19 09:55:00,,,,18471.177777777775,18476.806666666667,18471.17777777778,,,,,18463.975526433693,18433.621411074408,1,18433.621411074408,,0,1,0,0,0
2022-12-19 10:00:00,2022-12-19 10:00:00+05:30,18490.0,18513.65,18490.0,18510.8,17600,2022-12-19 10:00:00,,,,18479.10222222222,18484.731111111112,18478.4,,,,,18468.29526241987,18451.384928680593,1,18451.384928680593,,0,1,0,0,0
2022-12-19 10:05:00,2022-12-19 10:05:00+05:30,18510.8,18519.95,18503.0,18503.0,8200,2022-12-19 10:05:00,,,,18483.881777777777,18489.65111111111,18483.55,,,,,18470.19050210004,18464.04134426873,1,18464.04134426873,,0,1,0,0,0
2022-12-19 10:10:00,2022-12-19 10:10:00+05:30,18503.0,18516.8,18499.0,18508.85,8150,2022-12-19 10:10:00,,,,18488.875422222223,18494.71111111111,18489.07222222222,,,,,18471.88633378933,18464.04134426873,1,18464.04134426873,,0,1,0,0,0
2022-12-19 10:15:00,2022-12-19 10:15:00+05:30,18508.85,18528.0,18504.4,18524.65,17100,2022-12-19 10:15:00,,,,18496.030337777782,18501.826666666664,18493.838888888888,,,,,18475.919001751314,18470.52538188406,1,18470.52538188406,,0,1,0,0,0
2022-12-19 10:20:00,2022-12-19 10:20:00+05:30,18525.85,18531.9,18517.7,18520.25,12000,2022-12-19 10:20:00,,,,18500.874270222226,18507.108888888888,18498.088888888888,,,,,18478.601899929195,18481.977675248934,1,18481.977675248934,,0,1,0,0,0
2022-12-19 10:25:00,2022-12-19 10:25:00+05:30,18520.25,18527.05,18514.25,18521.75,6950,2022-12-19 10:25:00,79.12190710545939,,,18505.049416177782,18511.84111111111,18502.761111111107,21.620453352069077,,,,18479.94916971359,18481.977675248934,1,18481.977675248934,,0,1,0,0,1
